instance_id,n,p,replicate,method,step,alpha,alpha_left,alpha_right,beta,beta_left,beta_right
ER_n009_p070_r02,9,0.7,2,baseline,66,0.66,0.65,0.66,0.33999999999999997,0.35,0.33999999999999997
ER_n009_p070_r02,9,0.7,2,baseline,67,0.67,0.66,0.67,0.32999999999999996,0.33999999999999997,0.32999999999999996
ER_n009_p070_r02,9,0.7,2,baseline,68,0.68,0.67,0.68,0.31999999999999995,0.32999999999999996,0.31999999999999995
ER_n009_p070_r02,9,0.7,2,baseline,69,0.69,0.68,0.69,0.31000000000000005,0.31999999999999995,0.31000000000000005
ER_n009_p070_r02,9,0.7,2,baseline,70,0.7,0.69,0.7,0.30000000000000004,0.31000000000000005,0.30000000000000004
ER_n009_p070_r02,9,0.7,2,baseline,71,0.71,0.7,0.71,0.29000000000000004,0.30000000000000004,0.29000000000000004
ER_n009_p070_r02,9,0.7,2,baseline,72,0.72,0.71,0.72,0.28,0.29000000000000004,0.28
ER_n009_p070_r02,9,0.7,2,baseline,73,0.73,0.72,0.73,0.27,0.28,0.27
ER_n009_p070_r02,9,0.7,2,baseline,74,0.74,0.73,0.74,0.26,0.27,0.26
ER_n009_p070_r02,9,0.7,2,baseline,75,0.75,0.74,0.75,0.25,0.26,0.25
ER_n009_p070_r02,9,0.7,2,baseline,76,0.76,0.75,0.76,0.24,0.25,0.24
ER_n009_p070_r02,9,0.7,2,baseline,77,0.77,0.76,0.77,0.22999999999999998,0.24,0.22999999999999998
ER_n009_p070_r02,9,0.7,2,baseline,78,0.78,0.77,0.78,0.21999999999999997,0.22999999999999998,0.21999999999999997
ER_n009_p070_r02,9,0.7,2,baseline,79,0.79,0.78,0.79,0.20999999999999996,0.21999999999999997,0.20999999999999996
ER_n009_p070_r02,9,0.7,2,baseline,80,0.8,0.79,0.8,0.19999999999999996,0.20999999999999996,0.19999999999999996
ER_n009_p070_r02,9,0.7,2,baseline,81,0.81,0.8,0.81,0.18999999999999995,0.19999999999999996,0.18999999999999995
ER_n009_p070_r02,9,0.7,2,baseline,82,0.82,0.81,0.82,0.18000000000000005,0.18999999999999995,0.18000000000000005
ER_n009_p070_r02,9,0.7,2,baseline,83,0.83,0.82,0.83,0.17000000000000004,0.18000000000000005,0.17000000000000004
ER_n009_p070_r02,9,0.7,2,baseline,84,0.84,0.83,0.84,0.16000000000000003,0.17000000000000004,0.16000000000000003
ER_n009_p070_r02,9,0.7,2,baseline,85,0.85,0.84,0.85,0.15000000000000002,0.16000000000000003,0.15000000000000002
ER_n009_p070_r02,9,0.7,2,baseline,86,0.86,0.85,0.86,0.14,0.15000000000000002,0.14
ER_n009_p070_r02,9,0.7,2,baseline,87,0.87,0.86,0.87,0.13,0.14,0.13
ER_n009_p070_r02,9,0.7,2,baseline,88,0.88,0.87,0.88,0.12,0.13,0.12
ER_n009_p070_r02,9,0.7,2,baseline,89,0.89,0.88,0.89,0.10999999999999999,0.12,0.10999999999999999
ER_n009_p070_r02,9,0.7,2,baseline,90,0.9,0.89,0.9,0.09999999999999998,0.10999999999999999,0.09999999999999998
ER_n009_p070_r02,9,0.7,2,baseline,91,0.91,0.9,0.91,0.08999999999999997,0.09999999999999998,0.08999999999999997
ER_n009_p070_r02,9,0.7,2,baseline,92,0.92,0.91,0.92,0.07999999999999996,0.08999999999999997,0.07999999999999996
ER_n009_p070_r02,9,0.7,2,baseline,93,0.93,0.92,0.93,0.06999999999999995,0.07999999999999996,0.06999999999999995
ER_n009_p070_r02,9,0.7,2,baseline,94,0.94,0.93,0.94,0.06000000000000005,0.06999999999999995,0.06000000000000005
ER_n009_p070_r02,9,0.7,2,baseline,95,0.95,0.94,0.95,0.050000000000000044,0.06000000000000005,0.050000000000000044
ER_n009_p070_r02,9,0.7,2,baseline,96,0.96,0.95,0.96,0.040000000000000036,0.050000000000000044,0.040000000000000036
ER_n009_p070_r02,9,0.7,2,baseline,97,0.97,0.96,0.97,0.030000000000000027,0.040000000000000036,0.030000000000000027
ER_n009_p070_r02,9,0.7,2,baseline,98,0.98,0.97,0.98,0.020000000000000018,0.030000000000000027,0.020000000000000018
ER_n009_p070_r02,9,0.7,2,baseline,99,0.99,0.98,0.99,0.010000000000000009,0.020000000000000018,0.010000000000000009
ER_n009_p070_r02,9,0.7,2,baseline,100,1.0,0.99,1.0,0.0,0.010000000000000009,0.0
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,0,0.0,,0.0,1.0,,1.0
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,1,0.01,0.0,0.01,0.99,1.0,0.99
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,2,0.02,0.01,0.02,0.98,0.99,0.98
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,3,0.03,0.02,0.03,0.97,0.98,0.97
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,4,0.04,0.03,0.04,0.96,0.97,0.96
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,5,0.05,0.04,0.05,0.95,0.96,0.95
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,6,0.06,0.05,0.06,0.94,0.95,0.94
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,7,0.07,0.06,0.07,0.9299999999999999,0.94,0.9299999999999999
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,8,0.08,0.07,0.08,0.92,0.9299999999999999,0.92
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,9,0.09,0.08,0.09,0.91,0.92,0.91
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,10,0.1,0.09,0.1,0.9,0.91,0.9
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,11,0.11,0.1,0.11,0.89,0.9,0.89
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,12,0.12,0.11,0.12,0.88,0.89,0.88
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,13,0.13,0.12,0.13,0.87,0.88,0.87
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,14,0.14,0.13,0.14,0.86,0.87,0.86
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,15,0.15,0.14,0.15,0.85,0.86,0.85
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,16,0.16,0.15,0.16,0.84,0.85,0.84
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,17,0.17,0.16,0.17,0.83,0.84,0.83
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,18,0.18,0.17,0.18,0.8200000000000001,0.83,0.8200000000000001
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,19,0.19,0.18,0.19,0.81,0.8200000000000001,0.81
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,20,0.2,0.19,0.2,0.8,0.81,0.8
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,21,0.21,0.2,0.21,0.79,0.8,0.79
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,22,0.22,0.21,0.22,0.78,0.79,0.78
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,23,0.23,0.22,0.23,0.77,0.78,0.77
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,24,0.24,0.23,0.24,0.76,0.77,0.76
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,25,0.25,0.24,0.25,0.75,0.76,0.75
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,26,0.26,0.25,0.26,0.74,0.75,0.74
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,27,0.27,0.26,0.27,0.73,0.74,0.73
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,28,0.28,0.27,0.28,0.72,0.73,0.72
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,29,0.29,0.28,0.29,0.71,0.72,0.71
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,30,0.3,0.29,0.3,0.7,0.71,0.7
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,31,0.31,0.3,0.31,0.69,0.7,0.69
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,32,0.32,0.31,0.32,0.6799999999999999,0.69,0.6799999999999999
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,33,0.33,0.32,0.33,0.6699999999999999,0.6799999999999999,0.6699999999999999
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,34,0.34,0.33,0.34,0.6599999999999999,0.6699999999999999,0.6599999999999999
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,35,0.35,0.34,0.35,0.65,0.6599999999999999,0.65
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,36,0.36,0.35,0.36,0.64,0.65,0.64
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,37,0.37,0.36,0.37,0.63,0.64,0.63
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,38,0.38,0.37,0.38,0.62,0.63,0.62
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,39,0.39,0.38,0.39,0.61,0.62,0.61
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,40,0.4,0.39,0.4,0.6,0.61,0.6
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,41,0.41,0.4,0.41,0.5900000000000001,0.6,0.5900000000000001
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,42,0.42,0.41,0.42,0.5800000000000001,0.5900000000000001,0.5800000000000001
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,43,0.43,0.42,0.43,0.5700000000000001,0.5800000000000001,0.5700000000000001
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,44,0.44,0.43,0.44,0.56,0.5700000000000001,0.56
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,45,0.45,0.44,0.45,0.55,0.56,0.55
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,46,0.46,0.45,0.46,0.54,0.55,0.54
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,47,0.47,0.46,0.47,0.53,0.54,0.53
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,48,0.48,0.47,0.48,0.52,0.53,0.52
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,49,0.49,0.48,0.49,0.51,0.52,0.51
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,50,0.5,0.49,0.5,0.5,0.51,0.5
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,51,0.51,0.5,0.51,0.49,0.5,0.49
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,52,0.52,0.51,0.52,0.48,0.49,0.48
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,53,0.53,0.52,0.53,0.47,0.48,0.47
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,54,0.54,0.53,0.54,0.45999999999999996,0.47,0.45999999999999996
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,55,0.55,0.54,0.55,0.44999999999999996,0.45999999999999996,0.44999999999999996
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,56,0.56,0.55,0.56,0.43999999999999995,0.44999999999999996,0.43999999999999995
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,57,0.57,0.56,0.57,0.43000000000000005,0.43999999999999995,0.43000000000000005
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,58,0.58,0.57,0.58,0.42000000000000004,0.43000000000000005,0.42000000000000004
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,59,0.59,0.58,0.59,0.41000000000000003,0.42000000000000004,0.41000000000000003
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,60,0.6,0.59,0.6,0.4,0.41000000000000003,0.4
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,61,0.61,0.6,0.61,0.39,0.4,0.39
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,62,0.62,0.61,0.62,0.38,0.39,0.38
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,63,0.63,0.62,0.63,0.37,0.38,0.37
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,64,0.64,0.63,0.64,0.36,0.37,0.36
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,65,0.65,0.64,0.65,0.35,0.36,0.35
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,66,0.66,0.65,0.66,0.33999999999999997,0.35,0.33999999999999997
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,67,0.67,0.66,0.67,0.32999999999999996,0.33999999999999997,0.32999999999999996
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,68,0.68,0.67,0.68,0.31999999999999995,0.32999999999999996,0.31999999999999995
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,69,0.69,0.68,0.69,0.31000000000000005,0.31999999999999995,0.31000000000000005
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,70,0.7,0.69,0.7,0.30000000000000004,0.31000000000000005,0.30000000000000004
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,71,0.71,0.7,0.71,0.29000000000000004,0.30000000000000004,0.29000000000000004
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,72,0.72,0.71,0.72,0.28,0.29000000000000004,0.28
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,73,0.73,0.72,0.73,0.27,0.28,0.27
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,74,0.74,0.73,0.74,0.26,0.27,0.26
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,75,0.75,0.74,0.75,0.25,0.26,0.25
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,76,0.76,0.75,0.76,0.24,0.25,0.24
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,77,0.77,0.76,0.77,0.22999999999999998,0.24,0.22999999999999998
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,78,0.78,0.77,0.78,0.21999999999999997,0.22999999999999998,0.21999999999999997
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,79,0.79,0.78,0.79,0.20999999999999996,0.21999999999999997,0.20999999999999996
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,80,0.8,0.79,0.8,0.19999999999999996,0.20999999999999996,0.19999999999999996
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,81,0.81,0.8,0.81,0.18999999999999995,0.19999999999999996,0.18999999999999995
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,82,0.82,0.81,0.82,0.18000000000000005,0.18999999999999995,0.18000000000000005
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,83,0.83,0.82,0.83,0.17000000000000004,0.18000000000000005,0.17000000000000004
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,84,0.84,0.83,0.84,0.16000000000000003,0.17000000000000004,0.16000000000000003
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,85,0.85,0.84,0.85,0.15000000000000002,0.16000000000000003,0.15000000000000002
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,86,0.86,0.85,0.86,0.14,0.15000000000000002,0.14
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,87,0.87,0.86,0.87,0.13,0.14,0.13
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,88,0.88,0.87,0.88,0.12,0.13,0.12
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,89,0.89,0.88,0.89,0.10999999999999999,0.12,0.10999999999999999
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,90,0.9,0.89,0.9,0.09999999999999998,0.10999999999999999,0.09999999999999998
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,91,0.91,0.9,0.91,0.08999999999999997,0.09999999999999998,0.08999999999999997
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,92,0.92,0.91,0.92,0.07999999999999996,0.08999999999999997,0.07999999999999996
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,93,0.93,0.92,0.93,0.06999999999999995,0.07999999999999996,0.06999999999999995
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,94,0.94,0.93,0.94,0.06000000000000005,0.06999999999999995,0.06000000000000005
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,95,0.95,0.94,0.95,0.050000000000000044,0.06000000000000005,0.050000000000000044
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,96,0.96,0.95,0.96,0.040000000000000036,0.050000000000000044,0.040000000000000036
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,97,0.97,0.96,0.97,0.030000000000000027,0.040000000000000036,0.030000000000000027
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,98,0.98,0.97,0.98,0.020000000000000018,0.030000000000000027,0.020000000000000018
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,99,0.99,0.98,0.99,0.010000000000000009,0.020000000000000018,0.010000000000000009
ER_n009_p070_r02,9,0.7,2,warm_start_sdp,100,1.0,0.99,1.0,0.0,0.010000000000000009,0.0
ER_n009_p070_r03,9,0.7,3,baseline,0,0.0,,0.0,1.0,,1.0
ER_n009_p070_r03,9,0.7,3,baseline,1,0.01,0.0,0.01,0.99,1.0,0.99
ER_n009_p070_r03,9,0.7,3,baseline,2,0.02,0.01,0.02,0.98,0.99,0.98
ER_n009_p070_r03,9,0.7,3,baseline,3,0.03,0.02,0.03,0.97,0.98,0.97
ER_n009_p070_r03,9,0.7,3,baseline,4,0.04,0.03,0.04,0.96,0.97,0.96
ER_n009_p070_r03,9,0.7,3,baseline,5,0.05,0.04,0.05,0.95,0.96,0.95
ER_n009_p070_r03,9,0.7,3,baseline,6,0.06,0.05,0.06,0.94,0.95,0.94
ER_n009_p070_r03,9,0.7,3,baseline,7,0.07,0.06,0.07,0.9299999999999999,0.94,0.9299999999999999
ER_n009_p070_r03,9,0.7,3,baseline,8,0.08,0.07,0.08,0.92,0.9299999999999999,0.92
ER_n009_p070_r03,9,0.7,3,baseline,9,0.09,0.08,0.09,0.91,0.92,0.91
ER_n009_p070_r03,9,0.7,3,baseline,10,0.1,0.09,0.1,0.9,0.91,0.9
ER_n009_p070_r03,9,0.7,3,baseline,11,0.11,0.1,0.11,0.89,0.9,0.89
ER_n009_p070_r03,9,0.7,3,baseline,12,0.12,0.11,0.12,0.88,0.89,0.88
ER_n009_p070_r03,9,0.7,3,baseline,13,0.13,0.12,0.13,0.87,0.88,0.87
ER_n009_p070_r03,9,0.7,3,baseline,14,0.14,0.13,0.14,0.86,0.87,0.86
ER_n009_p070_r03,9,0.7,3,baseline,15,0.15,0.14,0.15,0.85,0.86,0.85
ER_n009_p070_r03,9,0.7,3,baseline,16,0.16,0.15,0.16,0.84,0.85,0.84
ER_n009_p070_r03,9,0.7,3,baseline,17,0.17,0.16,0.17,0.83,0.84,0.83
ER_n009_p070_r03,9,0.7,3,baseline,18,0.18,0.17,0.18,0.8200000000000001,0.83,0.8200000000000001
ER_n009_p070_r03,9,0.7,3,baseline,19,0.19,0.18,0.19,0.81,0.8200000000000001,0.81
ER_n009_p070_r03,9,0.7,3,baseline,20,0.2,0.19,0.2,0.8,0.81,0.8
ER_n009_p070_r03,9,0.7,3,baseline,21,0.21,0.2,0.21,0.79,0.8,0.79
ER_n009_p070_r03,9,0.7,3,baseline,22,0.22,0.21,0.22,0.78,0.79,0.78
ER_n009_p070_r03,9,0.7,3,baseline,23,0.23,0.22,0.23,0.77,0.78,0.77
ER_n009_p070_r03,9,0.7,3,baseline,24,0.24,0.23,0.24,0.76,0.77,0.76
ER_n009_p070_r03,9,0.7,3,baseline,25,0.25,0.24,0.25,0.75,0.76,0.75
ER_n009_p070_r03,9,0.7,3,baseline,26,0.26,0.25,0.26,0.74,0.75,0.74
ER_n009_p070_r03,9,0.7,3,baseline,27,0.27,0.26,0.27,0.73,0.74,0.73
ER_n009_p070_r03,9,0.7,3,baseline,28,0.28,0.27,0.28,0.72,0.73,0.72
ER_n009_p070_r03,9,0.7,3,baseline,29,0.29,0.28,0.29,0.71,0.72,0.71
ER_n009_p070_r03,9,0.7,3,baseline,30,0.3,0.29,0.3,0.7,0.71,0.7
ER_n009_p070_r03,9,0.7,3,baseline,31,0.31,0.3,0.31,0.69,0.7,0.69
ER_n009_p070_r03,9,0.7,3,baseline,32,0.32,0.31,0.32,0.6799999999999999,0.69,0.6799999999999999
ER_n009_p070_r03,9,0.7,3,baseline,33,0.33,0.32,0.33,0.6699999999999999,0.6799999999999999,0.6699999999999999
ER_n009_p070_r03,9,0.7,3,baseline,34,0.34,0.33,0.34,0.6599999999999999,0.6699999999999999,0.6599999999999999
ER_n009_p070_r03,9,0.7,3,baseline,35,0.35,0.34,0.35,0.65,0.6599999999999999,0.65
ER_n009_p070_r03,9,0.7,3,baseline,36,0.36,0.35,0.36,0.64,0.65,0.64
ER_n009_p070_r03,9,0.7,3,baseline,37,0.37,0.36,0.37,0.63,0.64,0.63
ER_n009_p070_r03,9,0.7,3,baseline,38,0.38,0.37,0.38,0.62,0.63,0.62
ER_n009_p070_r03,9,0.7,3,baseline,39,0.39,0.38,0.39,0.61,0.62,0.61
ER_n009_p070_r03,9,0.7,3,baseline,40,0.4,0.39,0.4,0.6,0.61,0.6
ER_n009_p070_r03,9,0.7,3,baseline,41,0.41,0.4,0.41,0.5900000000000001,0.6,0.5900000000000001
ER_n009_p070_r03,9,0.7,3,baseline,42,0.42,0.41,0.42,0.5800000000000001,0.5900000000000001,0.5800000000000001
ER_n009_p070_r03,9,0.7,3,baseline,43,0.43,0.42,0.43,0.5700000000000001,0.5800000000000001,0.5700000000000001
ER_n009_p070_r03,9,0.7,3,baseline,44,0.44,0.43,0.44,0.56,0.5700000000000001,0.56
ER_n009_p070_r03,9,0.7,3,baseline,45,0.45,0.44,0.45,0.55,0.56,0.55
ER_n009_p070_r03,9,0.7,3,baseline,46,0.46,0.45,0.46,0.54,0.55,0.54
ER_n009_p070_r03,9,0.7,3,baseline,47,0.47,0.46,0.47,0.53,0.54,0.53
ER_n009_p070_r03,9,0.7,3,baseline,48,0.48,0.47,0.48,0.52,0.53,0.52
ER_n009_p070_r03,9,0.7,3,baseline,49,0.49,0.48,0.49,0.51,0.52,0.51
ER_n009_p070_r03,9,0.7,3,baseline,50,0.5,0.49,0.5,0.5,0.51,0.5
ER_n009_p070_r03,9,0.7,3,baseline,51,0.51,0.5,0.51,0.49,0.5,0.49
ER_n009_p070_r03,9,0.7,3,baseline,52,0.52,0.51,0.52,0.48,0.49,0.48
ER_n009_p070_r03,9,0.7,3,baseline,53,0.53,0.52,0.53,0.47,0.48,0.47
ER_n009_p070_r03,9,0.7,3,baseline,54,0.54,0.53,0.54,0.45999999999999996,0.47,0.45999999999999996
ER_n009_p070_r03,9,0.7,3,baseline,55,0.55,0.54,0.55,0.44999999999999996,0.45999999999999996,0.44999999999999996
ER_n009_p070_r03,9,0.7,3,baseline,56,0.56,0.55,0.56,0.43999999999999995,0.44999999999999996,0.43999999999999995
ER_n009_p070_r03,9,0.7,3,baseline,57,0.57,0.56,0.57,0.43000000000000005,0.43999999999999995,0.43000000000000005
ER_n009_p070_r03,9,0.7,3,baseline,58,0.58,0.57,0.58,0.42000000000000004,0.43000000000000005,0.42000000000000004
ER_n009_p070_r03,9,0.7,3,baseline,59,0.59,0.58,0.59,0.41000000000000003,0.42000000000000004,0.41000000000000003
ER_n009_p070_r03,9,0.7,3,baseline,60,0.6,0.59,0.6,0.4,0.41000000000000003,0.4
ER_n009_p070_r03,9,0.7,3,baseline,61,0.61,0.6,0.61,0.39,0.4,0.39
ER_n009_p070_r03,9,0.7,3,baseline,62,0.62,0.61,0.62,0.38,0.39,0.38
ER_n009_p070_r03,9,0.7,3,baseline,63,0.63,0.62,0.63,0.37,0.38,0.37
ER_n009_p070_r03,9,0.7,3,baseline,64,0.64,0.63,0.64,0.36,0.37,0.36
ER_n009_p070_r03,9,0.7,3,baseline,65,0.65,0.64,0.65,0.35,0.36,0.35
ER_n009_p070_r03,9,0.7,3,baseline,66,0.66,0.65,0.66,0.33999999999999997,0.35,0.33999999999999997
ER_n009_p070_r03,9,0.7,3,baseline,67,0.67,0.66,0.67,0.32999999999999996,0.33999999999999997,0.32999999999999996
ER_n009_p070_r03,9,0.7,3,baseline,68,0.68,0.67,0.68,0.31999999999999995,0.32999999999999996,0.31999999999999995
ER_n009_p070_r03,9,0.7,3,baseline,69,0.69,0.68,0.69,0.31000000000000005,0.31999999999999995,0.31000000000000005
ER_n009_p070_r03,9,0.7,3,baseline,70,0.7,0.69,0.7,0.30000000000000004,0.31000000000000005,0.30000000000000004
ER_n009_p070_r03,9,0.7,3,baseline,71,0.71,0.7,0.71,0.29000000000000004,0.30000000000000004,0.29000000000000004
ER_n009_p070_r03,9,0.7,3,baseline,72,0.72,0.71,0.72,0.28,0.29000000000000004,0.28
ER_n009_p070_r03,9,0.7,3,baseline,73,0.73,0.72,0.73,0.27,0.28,0.27
ER_n009_p070_r03,9,0.7,3,baseline,74,0.74,0.73,0.74,0.26,0.27,0.26
ER_n009_p070_r03,9,0.7,3,baseline,75,0.75,0.74,0.75,0.25,0.26,0.25
ER_n009_p070_r03,9,0.7,3,baseline,76,0.76,0.75,0.76,0.24,0.25,0.24
ER_n009_p070_r03,9,0.7,3,baseline,77,0.77,0.76,0.77,0.22999999999999998,0.24,0.22999999999999998
ER_n009_p070_r03,9,0.7,3,baseline,78,0.78,0.77,0.78,0.21999999999999997,0.22999999999999998,0.21999999999999997
ER_n009_p070_r03,9,0.7,3,baseline,79,0.79,0.78,0.79,0.20999999999999996,0.21999999999999997,0.20999999999999996
ER_n009_p070_r03,9,0.7,3,baseline,80,0.8,0.79,0.8,0.19999999999999996,0.20999999999999996,0.19999999999999996
ER_n009_p070_r03,9,0.7,3,baseline,81,0.81,0.8,0.81,0.18999999999999995,0.19999999999999996,0.18999999999999995
ER_n009_p070_r03,9,0.7,3,baseline,82,0.82,0.81,0.82,0.18000000000000005,0.18999999999999995,0.18000000000000005
ER_n009_p070_r03,9,0.7,3,baseline,83,0.83,0.82,0.83,0.17000000000000004,0.18000000000000005,0.17000000000000004
ER_n009_p070_r03,9,0.7,3,baseline,84,0.84,0.83,0.84,0.16000000000000003,0.17000000000000004,0.16000000000000003
ER_n009_p070_r03,9,0.7,3,baseline,85,0.85,0.84,0.85,0.15000000000000002,0.16000000000000003,0.15000000000000002
ER_n009_p070_r03,9,0.7,3,baseline,86,0.86,0.85,0.86,0.14,0.15000000000000002,0.14
ER_n009_p070_r03,9,0.7,3,baseline,87,0.87,0.86,0.87,0.13,0.14,0.13
ER_n009_p070_r03,9,0.7,3,baseline,88,0.88,0.87,0.88,0.12,0.13,0.12
ER_n009_p070_r03,9,0.7,3,baseline,89,0.89,0.88,0.89,0.10999999999999999,0.12,0.10999999999999999
ER_n009_p070_r03,9,0.7,3,baseline,90,0.9,0.89,0.9,0.09999999999999998,0.10999999999999999,0.09999999999999998
ER_n009_p070_r03,9,0.7,3,baseline,91,0.91,0.9,0.91,0.08999999999999997,0.09999999999999998,0.08999999999999997
ER_n009_p070_r03,9,0.7,3,baseline,92,0.92,0.91,0.92,0.07999999999999996,0.08999999999999997,0.07999999999999996
ER_n009_p070_r03,9,0.7,3,baseline,93,0.93,0.92,0.93,0.06999999999999995,0.07999999999999996,0.06999999999999995
ER_n009_p070_r03,9,0.7,3,baseline,94,0.94,0.93,0.94,0.06000000000000005,0.06999999999999995,0.06000000000000005
ER_n009_p070_r03,9,0.7,3,baseline,95,0.95,0.94,0.95,0.050000000000000044,0.06000000000000005,0.050000000000000044
ER_n009_p070_r03,9,0.7,3,baseline,96,0.96,0.95,0.96,0.040000000000000036,0.050000000000000044,0.040000000000000036
ER_n009_p070_r03,9,0.7,3,baseline,97,0.97,0.96,0.97,0.030000000000000027,0.040000000000000036,0.030000000000000027
ER_n009_p070_r03,9,0.7,3,baseline,98,0.98,0.97,0.98,0.020000000000000018,0.030000000000000027,0.020000000000000018
ER_n009_p070_r03,9,0.7,3,baseline,99,0.99,0.98,0.99,0.010000000000000009,0.020000000000000018,0.010000000000000009
ER_n009_p070_r03,9,0.7,3,baseline,100,1.0,0.99,1.0,0.0,0.010000000000000009,0.0
